,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
2349,0.19452035314230953,0.15674310774120465,0.28094248036870595,0.2101720132645645,0.2204478567600707,0.10618269138908225,0.15609746685599324,0.23094912896182573,0.12381667027243534,0.4609487183683122,-0.10801653993278701,0.4869703546140432
2350,0.1914763187468649,0.16051599119818913,0.2740321661237225,0.2179184376694846,0.21265320999296827,0.11453425108530242,0.15622122934874835,0.2314103211838716,0.12370831523786749,0.46143572572342456,-0.10835503456788481,0.48700735511240617
2351,0.19032211064312193,0.16678017667379824,0.2711815881476488,0.23099966948067818,0.20930489310153588,0.12870772015420245,0.15634488331723487,0.23187200043134712,0.12359962173502834,0.4619227692277441,-0.10869350283919682,0.487043504319609
2352,0.18560180107267749,0.16842689222776525,0.2606855948132284,0.23416447475265892,0.1976036547041483,0.13202627331326475,0.1564684284229975,0.2323341667399759,0.1234905897902612,0.4624098480297827,-0.10903194476725825,0.4870788020387441
2353,0.18505647705163725,0.1712502986342689,0.25915431411969536,0.2398495825003022,0.1957139877472707,0.13809577968689238,0.15659186432760758,0.23279682014462968,0.12338121942994093,0.4628969612777496,-0.1093703603201426,0.4871132479666579
2354,0.1866626816842381,0.17093663654455596,0.2622389634481744,0.23880036176216066,0.19887148810261646,0.13679808628611118,0.1567151906926628,0.23325996067932833,0.12327151068054726,0.46338410811946856,-0.10970874939355368,0.4871468417188617
2355,0.1838136816134724,0.17106563841438135,0.25576445549814125,0.2387015109602668,0.19157796007146377,0.13654053884895678,0.15683840717978745,0.2337235883772392,0.12316146356872948,0.46387128770233843,-0.11004711181787014,0.4871795828700265
2356,0.18941311929012858,0.17356223304628637,0.26741759031934387,0.243680909722271,0.20410422789979452,0.14183327001042742,0.15696151345063253,0.23418770327067687,0.12305107812129656,0.46435849917331573,-0.11038544743275422,0.48721147097707307
2357,0.18841808429556628,0.17400514683040438,0.2649135329613915,0.24424994253483293,0.20114458790589626,0.14230013906953953,0.15708450916687583,0.23465230539110293,0.12294035436523665,0.46484574167892667,-0.11072375605996085,0.4872425056109739
2358,0.18961402905748273,0.17310177437952184,0.267111569426317,0.24193038378258958,0.2033268408580955,0.13960975863618133,0.15720739399022232,0.23511739476912497,0.122829292327686,0.46533301436525054,-0.11106203755047045,0.48727268632360277
2359,0.18994021378360945,0.17024631351469824,0.2674413967283358,0.23542559249421213,0.20346507931118982,0.13234882287318409,0.15733016758240412,0.23558297143449655,0.12271789203587952,0.46582031637789456,-0.11140029180645225,0.48730201264399786
2360,0.1876671413393918,0.17167740450610602,0.2621947972698214,0.23812271065996193,0.19750949179489774,0.13515148845165426,0.15745282960518062,0.2360490354161165,0.12260615351714998,0.46630764686201326,-0.11173851872936258,0.487330484118486
2361,0.1893580557425988,0.17417029011504628,0.2654570374653195,0.24309471860106177,0.20085838645119714,0.14043682158320422,0.15757537972033858,0.2365155867420288,0.1224940767989145,0.4667950049623629,-0.11207671823554971,0.4873581003496852
2362,0.1941960600556766,0.1832417026931915,0.2754671635368495,0.2621743901935993,0.21157683547851647,0.1611314574139396,0.15769781758969242,0.23698262543942164,0.12238166190869901,0.46728238982333226,-0.1124148902153212,0.48738486096906675
2363,0.19655092996436702,0.18224151255218266,0.2801395836393149,0.2596271207694832,0.21645098122541243,0.1581721199417411,0.15782014287508386,0.23745015153462773,0.12226890887415004,0.4677698005889061,-0.11275303454900651,0.48741076557386465
2364,0.19716541502936835,0.18407077242437764,0.2810731148847516,0.26315264927260223,0.21723447490144915,0.16185134884100943,0.1579423552383825,0.23791816505312335,0.12215581772295916,0.46825723640254285,-0.11309115119091251,0.48743581363679717
2365,0.2008315759922464,0.18860338354417888,0.28855276879732905,0.2724743826634973,0.2251692610194414,0.17185926775749052,0.15806445434148536,0.2383866660195282,0.12204238848278176,0.46874469640709004,-0.11342924017732109,0.4874600045470693
2366,0.20295861673845797,0.1861337442549591,0.2927222555435295,0.26676272876056206,0.2294786125867276,0.1654312540900992,0.15818643984631742,0.23885565445760412,0.12192862118120532,0.46923217974478537,-0.11376730157678891,0.4874833376957276
2367,0.20325446253300683,0.18722136669456121,0.29295818985449606,0.2686892239764595,0.22948566551472735,0.16735523761514395,0.15830831141483098,0.239325130390255,0.12181451584569955,0.46971968555719573,-0.11410533550569965,0.4875058124103543
2368,0.2057633911061074,0.1910016247753353,0.297942162320612,0.27639105466925296,0.23467983379716778,0.1755864800342342,0.15843006870900556,0.23979509383952624,0.12170007250355297,0.47020721298520174,-0.11444334214622076,0.4875274280056987
2369,0.19955675537545653,0.1854221965768009,0.28421954563710194,0.26400146659479695,0.2194322924686725,0.16185975164655714,0.15855171139084823,0.2402655448266034,0.12158529118184658,0.4706947611690258,-0.11478132170665331,0.48754818382434056
2370,0.20568279903462636,0.1898697636004169,0.29697404846767383,0.27314019021363267,0.233125696872593,0.1716661445853689,0.1586732391223928,0.24073648337181203,0.12147017190742052,0.4711823292481888,-0.11511927442599612,0.48756807916297884
2371,0.21488215013313014,0.18740243991956473,0.31631005253964584,0.26743105925568306,0.2539931570963195,0.16524212317815962,0.1587946515657001,0.24120790949461673,0.12135471470692341,0.47166991636153976,-0.11545720049725294,0.48758711335105015
2372,0.2097844875944184,0.18526523344505552,0.3049459019749766,0.26243600022145336,0.2413022210974627,0.15960533185487774,0.15891594838285697,0.2416798232136212,0.12123891960681296,0.4721575216472831,-0.11579510011003147,0.4876052857429368
2373,0.21529228176673898,0.18404311895194894,0.316352070511228,0.2594096423441412,0.2534976353335816,0.1561252954639278,0.15903712923597688,0.2421522245465664,0.12112278663318071,0.4726451442429642,-0.11613297363239028,0.4876225956812936
2374,0.22178486641429895,0.18102262062320132,0.32985963146413644,0.2525268431488316,0.2679746223205561,0.14843690468039344,0.15915819378719928,0.24262511351033067,0.12100631581170171,0.4731327832855392,-0.11647082147873516,0.4876390425747583
2375,0.2258487871349316,0.17979783692606377,0.3381409164247215,0.2495046925626886,0.276727023456246,0.14497388473182407,0.15927914169868895,0.24309849012092916,0.12088950716763566,0.47362043791142233,-0.11680864406634295,0.4876546258834069
2376,0.22197779208021462,0.18430142628746848,0.3293839548517763,0.2587793686909175,0.2668604473490989,0.15494532674687625,0.15939997263263578,0.24357235439351296,0.12077236072568387,0.47410810725655134,-0.11714644195215701,0.4876693451292926
2377,0.22001983358856456,0.1839449393844457,0.3247414414412408,0.2576136651212126,0.26149861095859467,0.1535029629104571,0.15952068625125337,0.2440467063423696,0.1206548765098677,0.47459579045644806,-0.11748421581604024,0.4876831998966218
2378,0.22054130418754014,0.19179883839169304,0.3254248902746595,0.27407056511338135,0.2619594346145615,0.17130835943305792,0.1596412822167801,0.2445215459809209,0.12053705454352898,0.4750834866461912,-0.11782196633872877,0.48769618974310236
2379,0.22184715247425854,0.1900379783054143,0.3277908628494873,0.26987409404862023,0.26425721268593394,0.16653833799655307,0.15976176019147664,0.2449968733217241,0.12041889484939822,0.47557119496038086,-0.11815969413077287,0.4877083141896543
2380,0.223810256386142,0.1970160047080968,0.3315648212229783,0.28443862186928126,0.26809001001337596,0.18226177799365967,0.1598821198376263,0.24547268837647063,0.12030039744961413,0.47605891453306154,-0.11849739978422447,0.48771957268081634
2381,0.2268488711726477,0.19338262708658666,0.3376431042494467,0.2762113878463279,0.27443487454749627,0.17307841497867038,0.16000236081753402,0.24594899115598595,0.12018156236570307,0.4765466444976627,-0.11883508391111292,0.48772996460116896
2382,0.22277250709972693,0.1886987819440024,0.3284426587218694,0.2657376096655726,0.264088418794266,0.16145217527921768,0.16012248279352598,0.24642578167022838,0.1200623896185426,0.4770343839869482,-0.11917274716049508,0.48773948928556193
2383,0.22772025528066722,0.1803980871844164,0.3386219778427332,0.2475107172469618,0.27491538450541153,0.1413729676051872,0.16024248542794942,0.24690305992828832,0.11994287922830396,0.47752213213298905,-0.11951039023897847,0.4877481460411139
2384,0.22267245896528434,0.18631745616056997,0.32733414680311324,0.2598271134583634,0.2622898141920089,0.15466709396526518,0.16036236838317092,0.2473808259383883,0.11982303121446453,0.4780098880672736,-0.11984801383959265,0.48775593428475544
2385,0.21698199927310857,0.17865241939007304,0.31467806284270056,0.24296971193007127,0.2481844627558821,0.13609190712215272,0.160482131321576,0.24785907970788246,0.11970284559580063,0.4784976509208718,-0.12018561866427938,0.4877628535985281
2386,0.2136946250228864,0.1698819506429608,0.3071934392555123,0.2237564694854452,0.23974141291910608,0.11496537802882632,0.16060177390556907,0.24833782124325515,0.11958232239038857,0.47898541982447623,-0.12052320541245751,0.4877689036048576
2387,0.21243267677887862,0.16492465299179526,0.3040643536893181,0.21274883486924456,0.23606328453953926,0.10282158110871449,0.16072129579757216,0.2488170505501216,0.1194614616157331,0.4794731939084353,-0.12086077465552922,0.4877740839591463
2388,0.21492899738496965,0.17185199121650804,0.30900653015024887,0.22726652105941667,0.24120131405901227,0.11855940914313684,0.16084069666002437,0.24929676763322742,0.11934026328887548,0.47996097230295875,-0.12119832685738222,0.48777839452313093
2389,0.21169679966880617,0.17433743402875407,0.3016449728189953,0.23223296067527333,0.23290105821669885,0.12385204670876816,0.16095997615538218,0.2497769724964478,0.11921872742644937,0.48044875413829174,-0.1215358624264046,0.4877818353333817
2390,0.2117592100368331,0.1697113609511654,0.30136400569145133,0.22192627282644428,0.2323400644311445,0.1124649474029199,0.16107913394611784,0.25025766514278913,0.11909685404466608,0.4809365385447078,-0.12187338178358889,0.4877844064165302
2391,0.2113217733413708,0.17247378458078585,0.30000990865955995,0.2274930049557245,0.23060819471763389,0.11841922076401636,0.16119816969471992,0.2507388455743876,0.11897464315932677,0.48142432465240925,-0.12221088533932561,0.48778610770147623
2392,0.20961024635205847,0.1803175655287264,0.2959214392858309,0.24396369553067185,0.2258933281873909,0.1362699714577617,0.1613170830636926,0.2512205137925094,0.1188520947858624,0.48191211159156433,-0.12254837346467842,0.4877869391554547
2393,0.20539935724647762,0.1779942830866935,0.28647059269971636,0.23858772804337988,0.21533017681077032,0.1302528004666726,0.16143587371555523,0.25170266979755135,0.11872920893933828,0.482399898492345,-0.12288584652426149,0.48778690078085907
2394,0.20672573256326704,0.18331327165381447,0.28891850882367603,0.2496261537615661,0.21776719435140615,0.1421598039890762,0.1615545413128421,0.25218531358903995,0.11860598563448274,0.48288768448481356,-0.12322330485531421,0.48778599246828247
2395,0.2094669258884229,0.18310933437341692,0.2944015396255777,0.24879427454717984,0.2235143984233349,0.14109660916544062,0.16167308551810233,0.2526684451656317,0.11848242488575933,0.48337546869887016,-0.1235607487231474,0.4877842140562595
2396,0.21241538976298205,0.1858112925200735,0.300323726559131,0.25420275468178044,0.22973448213352118,0.14684594223553527,0.16179150599389888,0.2531520645251133,0.11835852670740232,0.4838632502642314,-0.12389817835681963,0.48778156536095135
2397,0.2116740800520632,0.17940984701701734,0.298316521623234,0.24005781237192647,0.22729294813138784,0.13124700080354576,0.16190980240280928,0.25363617166440056,0.11823429111337141,0.48435102831038235,-0.12423559403103535,0.48777804615111753
2398,0.2080278839647672,0.182537188243639,0.2900733393900563,0.2463889133148211,0.21804804524545082,0.13801368701355926,0.16202797440742478,0.25412076657953886,0.11810971811728632,0.48483880196656093,-0.12457299608536707,0.48777365617888935
2399,0.20585237439062692,0.18300011474959738,0.28499656786658384,0.24699177100227554,0.21226932370827478,0.1385210138453639,0.16214602167034958,0.25460584926570307,0.11798480773240325,0.48532657036181337,-0.12491038488333478,0.48776839525281224
2400,0.20535286177779877,0.18024063381241437,0.2835239163107863,0.24067389836816153,0.2104304744219129,0.13147478692965045,0.16226394385420168,0.2550914197171964,0.11785955997166842,0.4858143326250465,-0.1252477607347117,0.4877622632329639
2401,0.20468295255980826,0.18175433872223212,0.28168662373008485,0.2435390653461999,0.2081957505750306,0.13445812352598455,0.16238174062161143,0.2555774779274514,0.11773397484778972,0.48630208788499685,-0.1255851238785053,0.4877552599501458
2402,0.20347255234861128,0.17592515227003327,0.2786902645433603,0.23063189618762714,0.2046986640048018,0.12022597568813516,0.1624994116352219,0.25606402388902916,0.1176080523732698,0.4867898352702721,-0.1259224745199119,0.48774738527523415
